date_rptd,area_name,crm_cd,vict_age,vict_sex,vict_descent,lat,lon,weapons_used_cd,Year
2023-05-27T00:00:00.000,N Hollywood,510,0,,,34.2071,-118.3965,,2020
2023-09-02T00:00:00.000,Wilshire,354,18,M,B,34.0394,-118.3541,,2020
2022-06-21T00:00:00.000,Northeast,354,39,M,C,34.1037,-118.2722,,2020
2022-03-21T00:00:00.000,Rampart,210,62,M,H,34.0473,-118.2827,,2020
2022-08-31T00:00:00.000,Devonshire,662,32,M,O,34.2428,-118.5338,,2020
2022-02-04T00:00:00.000,Northeast,420,0,,,34.0951,-118.208,,2020
2023-06-11T00:00:00.000,Wilshire,354,26,F,H,34.0744,-118.3711,,2020
2023-05-22T00:00:00.000,N Hollywood,626,29,F,H,34.167,-118.3686,,2020
2023-06-10T00:00:00.000,Van Nuys,354,56,F,H,34.1903,-118.4676,,2020
2022-03-30T00:00:00.000,77th Street,354,24,M,H,34.0016,-118.2878,,2020
2022-05-07T00:00:00.000,Rampart,330,32,M,H,34.0689,-118.2841,,2020
2023-02-03T00:00:00.000,Northeast,354,25,M,W,34.1,-118.2819,,2020
2023-06-02T00:00:00.000,Olympic,662,44,M,H,34.0453,-118.313,,2020
2022-03-10T00:00:00.000,Newton,354,30,F,B,34.0218,-118.249,,2020
2020-04-28T00:00:00.000,Pacific,510,0,,,34.0238,-118.4095,,2020
2023-05-07T00:00:00.000,Devonshire,354,42,M,H,34.2728,-118.4788,,2020
2022-11-25T00:00:00.000,Mission,420,0,,,34.2265,-118.4699,,2020
2022-01-05T00:00:00.000,Rampart,354,58,F,W,34.0524,-118.2678,,2020
2022-01-10T00:00:00.000,Hollywood,354,30,M,B,34.0928,-118.3136,,2020
2023-11-08T00:00:00.000,Newton,354,51,M,H,33.9851,-118.2765,,2020
2022-06-22T00:00:00.000,N Hollywood,354,63,M,W,34.1631,-118.4074,,2020
2022-10-13T00:00:00.000,N Hollywood,860,29,M,W,34.1567,-118.368,,2020
2023-08-16T00:00:00.000,Central,236,59,F,A,34.057,-118.2508,,2020
2022-01-15T00:00:00.000,77th Street,820,14,F,H,33.9636,-118.2871,,2020
2023-08-21T00:00:00.000,Newton,812,12,F,H,33.9994,-118.2696,,2020
2022-10-16T00:00:00.000,Harbor,812,12,F,H,33.8438,-118.3066,,2020
2023-02-24T00:00:00.000,Hollywood,661,30,F,W,34.1162,-118.3738,,2020
2022-03-30T00:00:00.000,N Hollywood,354,71,F,W,34.163,-118.3774,,2020
2022-09-09T00:00:00.000,Newton,810,14,F,H,34.002,-118.274,,2020
2022-09-26T00:00:00.000,Topanga,354,42,F,B,34.2141,-118.6157,,2020
2022-02-24T00:00:00.000,West Valley,354,69,F,O,34.2009,-118.5229,,2020
2022-06-30T00:00:00.000,Foothill,930,49,F,W,34.2452,-118.2855,,2020
2022-02-21T00:00:00.000,Southeast,354,26,F,O,33.9305,-118.2363,,2020
2020-10-29T00:00:00.000,Newton,354,63,M,H,34.002,-118.2783,,2020
2023-04-13T00:00:00.000,Van Nuys,354,41,M,W,34.1464,-118.4294,,2020
2023-04-14T00:00:00.000,Newton,354,57,M,B,33.9765,-118.2739,,2020
2023-08-25T00:00:00.000,Olympic,354,24,F,O,34.0672,-118.2954,,2020
2022-02-20T00:00:00.000,Mission,901,15,F,H,34.2373,-118.4327,,2020
2023-03-10T00:00:00.000,Central,354,36,M,B,34.0438,-118.2547,,2020
2022-04-07T00:00:00.000,Newton,354,29,M,H,34.0254,-118.2729,,2020
2021-01-09T00:00:00.000,Van Nuys,442,22,F,W,34.1576,-118.4389,,2020
2023-02-08T00:00:00.000,Mission,812,5,F,H,34.2152,-118.4531,,2020
2022-12-16T00:00:00.000,Foothill,354,22,M,W,34.2865,-118.3976,,2020
2022-09-16T00:00:00.000,Central,740,26,M,H,34.0416,-118.255,,2020
2022-05-13T00:00:00.000,Hollywood,354,38,M,W,34.0889,-118.331,,2020
2023-10-02T00:00:00.000,Rampart,812,13,F,H,34.0663,-118.2719,,2020
2022-01-23T00:00:00.000,West Valley,354,61,M,B,34.1698,-118.5386,,2020
2023-06-23T00:00:00.000,Topanga,354,33,F,A,34.1937,-118.599,,2020
2020-12-21T00:00:00.000,Olympic,341,63,M,K,34.0524,-118.2842,,2020
2022-04-14T00:00:00.000,Rampart,354,28,M,O,34.0565,-118.2724,,2020
2022-06-12T00:00:00.000,Southeast,946,-2,X,X,33.9401,-118.2761,,2020
2022-02-23T00:00:00.000,Wilshire,354,27,F,B,34.0838,-118.3584,,2020
2023-03-28T00:00:00.000,Rampart,354,20,F,B,34.061,-118.2615,,2020
2022-02-15T00:00:00.000,Southeast,440,28,M,H,33.9601,-118.2768,,2020
2020-12-31T00:00:00.000,Wilshire,310,31,F,W,34.0745,-118.3742,,2020
2023-10-11T00:00:00.000,77th Street,354,37,F,B,33.9722,-118.2696,,2020
2022-11-14T00:00:00.000,West Valley,761,59,F,H,34.2012,-118.5133,,2020
2022-07-05T00:00:00.000,West Valley,626,43,M,H,34.2204,-118.5579,,2020
2023-12-13T00:00:00.000,Pacific,440,45,M,O,33.9775,-118.4065,,2020
2022-05-24T00:00:00.000,Southeast,354,63,M,B,33.9423,-118.2916,,2020
2023-01-30T00:00:00.000,Hollenbeck,649,78,F,H,34.0231,-118.2039,,2020
2023-12-09T00:00:00.000,Topanga,354,25,M,O,34.1889,-118.5905,,2020
2022-09-15T00:00:00.000,77th Street,354,67,M,H,33.9951,-118.3102,,2020
2022-01-20T00:00:00.000,Harbor,331,0,X,X,33.7421,-118.3102,,2020
2023-07-22T00:00:00.000,West LA,354,25,F,W,34.0664,-118.4397,,2020
2023-02-06T00:00:00.000,Mission,626,26,F,H,34.2412,-118.4558,,2020
2022-06-21T00:00:00.000,Van Nuys,354,53,F,W,34.1864,-118.4159,,2020
2022-12-27T00:00:00.000,77th Street,440,57,F,B,33.9633,-118.2871,,2020
2023-02-27T00:00:00.000,77th Street,310,72,M,B,33.958,-118.317,,2020
2022-04-13T00:00:00.000,Devonshire,354,35,F,H,34.2586,-118.5169,,2020
2022-12-12T00:00:00.000,Wilshire,354,26,M,W,34.0783,-118.3498,,2020
2023-04-11T00:00:00.000,Harbor,354,28,M,H,33.727,-118.2946,,2020
2022-05-18T00:00:00.000,Van Nuys,354,47,M,W,34.1559,-118.4629,,2020
2022-10-25T00:00:00.000,West Valley,354,25,F,H,34.1896,-118.5515,,2020
2020-03-27T00:00:00.000,Newton,510,0,,,34.017,-118.2643,,2020
2022-12-09T00:00:00.000,77th Street,354,29,F,B,33.9773,-118.3279,,2020
2023-05-19T00:00:00.000,Southeast,354,21,M,B,33.9482,-118.2541,,2020
2023-09-12T00:00:00.000,Harbor,662,54,F,H,33.777,-118.2648,,2020
2022-04-10T00:00:00.000,West Valley,510,0,,,34.1958,-118.5399,,2020
2022-05-23T00:00:00.000,Southwest,845,19,X,X,34.0108,-118.3135,,2020
2023-09-28T00:00:00.000,West Valley,236,37,F,B,34.1938,-118.5622,,2020
2022-10-19T00:00:00.000,Southwest,812,11,F,H,34.0301,-118.3636,,2020
2022-04-14T00:00:00.000,77th Street,956,23,F,H,33.9619,-118.2717,,2020
2023-02-09T00:00:00.000,Hollywood,354,35,M,O,34.1016,-118.3361,,2020
2024-01-05T00:00:00.000,77th Street,354,39,M,B,33.9647,-118.2586,,2020
2023-11-20T00:00:00.000,Pacific,956,37,M,W,33.9921,-118.4692,,2020
2023-06-06T00:00:00.000,Central,668,60,M,O,34.0537,-118.2523,,2020
